Religion,Region,Year,Percent Change
Muslim,Northern Africa,1970-2020,1.95
Muslim,Southern Africa,1970-2010,36.36
Muslim,Southern Africa,2010-2020,6.67
Muslim,Southern Africa,1970-2020,45.45
Muslim,Western Africa,1970-2010,15.91
Muslim,Western Africa,2010-2020,1.76
Muslim,Western Africa,1970-2020,17.95
Muslim,Eastern Asia,1970-2010,16.67
Muslim,Eastern Asia,2010-2020,7.14
Muslim,Eastern Asia,1970-2020,25.0
Muslim,South-central Asia,1970-2010,-47.58
Muslim,South-central Asia,2010-2020,3.91
Muslim,South-central Asia,1970-2020,-45.53
Muslim,South-eastern Asia,1970-2010,6.65
Muslim,South-eastern Asia,2010-2020,0.81
Muslim,South-eastern Asia,1970-2020,7.51
Muslim,Western Asia,1970-2010,7.64
Muslim,Western Asia,2010-2020,0.45
Muslim,Western Asia,1970-2020,8.12
Muslim,Eastern Europe,1970-2010,35.71
Muslim,Eastern Europe,2010-2020,14.04
Muslim,Eastern Europe,1970-2020,54.76
Muslim,Northern Europe,1970-2010,262.5
Muslim,Northern Europe,2010-2020,89.66
Muslim,Northern Europe,1970-2020,587.5
Muslim,Southern Europe,1970-2010,106.25
Muslim,Southern Europe,2010-2020,13.64
Muslim,Southern Europe,1970-2020,134.37
Muslim,Western Europe,1970-2010,408.33
Muslim,Western Europe,2010-2020,19.67
Muslim,Western Europe,1970-2020,508.33
Muslim,Caribbean,1970-2010,0.0
Muslim,Caribbean,2010-2020,0.0
Muslim,Caribbean,1970-2020,0.0
Muslim,Central America,1970-2010,0.0
Muslim,Central America,2010-2020,0.0
Muslim,Central America,1970-2020,0.0
Muslim,South America,1970-2010,50.0
Muslim,South America,2010-2020,0.0
Muslim,South America,1970-2020,50.0
Muslim,Northern America,1970-2010,300.0
Muslim,Northern America,2010-2020,-6.25
Muslim,Northern America,1970-2020,275.0
Muslim,Australia/New Zealand,1970-2010,800.0
Muslim,Australia/New Zealand,2010-2020,50.0
Muslim,Australia/New Zealand,1970-2020,1250.0
Muslim,Melanesia,1970-2010,-46.15
Muslim,Melanesia,2010-2020,-14.29
Muslim,Melanesia,1970-2020,-53.85
