Religion,Region,Year,Percent Change
Atheist,South America,1970-2010,176.27
Atheist,South America,2010-2020,16.78
Atheist,South America,1970-2020,222.63
Atheist,Northern America,1970-2010,618.67
Atheist,Northern America,2010-2020,391.05
Atheist,Northern America,1970-2020,3429.0
Atheist,Australia/New Zealand,1970-2010,118.6
Atheist,Australia/New Zealand,2010-2020,266.81
Atheist,Australia/New Zealand,1970-2020,701.86
Atheist,Melanesia,1970-2010,664.71
Atheist,Melanesia,2010-2020,23.08
Atheist,Melanesia,1970-2020,841.18
Atheist,Micronesia,1970-2010,666.67
Atheist,Micronesia,2010-2020,-4.35
Atheist,Micronesia,1970-2020,633.33
Atheist,Polynesia,1970-2010,661.9
Atheist,Polynesia,2010-2020,0.0
Atheist,Polynesia,1970-2020,661.9
Buddhist,Eastern Africa,1970-2010,279.49
Buddhist,Eastern Africa,2010-2020,36.15
Buddhist,Eastern Africa,1970-2020,416.67
Buddhist,Middle Africa,1970-2010,1800.0
Buddhist,Middle Africa,2010-2020,46.05
Buddhist,Middle Africa,1970-2020,2675.0
Buddhist,Northern Africa,1970-2010,6750.0
Buddhist,Northern Africa,2010-2020,-3.65
Buddhist,Northern Africa,1970-2020,6500.0
Buddhist,Southern Africa,1970-2010,6856.52
Buddhist,Southern Africa,2010-2020,55.62
Buddhist,Southern Africa,1970-2020,10726.09
Buddhist,Western Africa,1970-2010,3587.5
Buddhist,Western Africa,2010-2020,31.86
Buddhist,Western Africa,1970-2020,4762.5
Buddhist,Eastern Asia,1970-2010,130.87
Buddhist,Eastern Asia,2010-2020,7.3
Buddhist,Eastern Asia,1970-2020,147.72
Buddhist,South-central Asia,1970-2010,100.1
Buddhist,South-central Asia,2010-2020,5.72
Buddhist,South-central Asia,1970-2020,111.55
Buddhist,South-eastern Asia,1970-2010,79.84
Buddhist,South-eastern Asia,2010-2020,8.09
Buddhist,South-eastern Asia,1970-2020,94.39
Buddhist,Western Asia,1970-2010,4233.33
Buddhist,Western Asia,2010-2020,38.46
Buddhist,Western Asia,1970-2020,5900.0
Buddhist,Eastern Europe,1970-2010,21.68
Buddhist,Eastern Europe,2010-2020,9.17
Buddhist,Eastern Europe,1970-2020,32.84
Buddhist,Northern Europe,1970-2010,843.22
Buddhist,Northern Europe,2010-2020,8.36
Buddhist,Northern Europe,1970-2020,922.08
Buddhist,Southern Europe,1970-2010,3436.0
Buddhist,Southern Europe,2010-2020,96.83
Buddhist,Southern Europe,1970-2020,6860.0
Buddhist,Western Europe,1970-2010,1816.28
Buddhist,Western Europe,2010-2020,4.13
Buddhist,Western Europe,1970-2020,1895.35
Buddhist,Caribbean,1970-2010,53.19
Buddhist,Caribbean,2010-2020,0.69
Buddhist,Caribbean,1970-2020,54.26
Buddhist,Central America,1970-2010,213.9
Buddhist,Central America,2010-2020,18.71
Buddhist,Central America,1970-2020,272.65
Buddhist,South America,1970-2010,88.27
Buddhist,South America,2010-2020,9.5
Buddhist,South America,1970-2020,106.15
Buddhist,Northern America,1970-2010,1962.04
Buddhist,Northern America,2010-2020,11.2
Buddhist,Northern America,1970-2020,2193.06
Buddhist,Australia/New Zealand,1970-2010,4094.03
Buddhist,Australia/New Zealand,2010-2020,69.22
Buddhist,Australia/New Zealand,1970-2020,6997.01
Buddhist,Melanesia,1970-2010,476.92
Buddhist,Melanesia,2010-2020,28.0
Buddhist,Melanesia,1970-2020,638.46
Buddhist,Micronesia,1970-2010,2500.0
Buddhist,Micronesia,2010-2020,-4.4
Buddhist,Micronesia,1970-2020,2385.71
Buddhist,Polynesia,1970-2010,103.33
Buddhist,Polynesia,2010-2020,0.0
Buddhist,Polynesia,1970-2020,103.33
Christian,Eastern Africa,1970-2010,293.0
Christian,Eastern Africa,2010-2020,36.62
Christian,Eastern Africa,1970-2020,436.93
Christian,Middle Africa,1970-2010,254.82
Christian,Middle Africa,2010-2020,42.47
Christian,Middle Africa,1970-2020,405.52
Christian,Northern Africa,1970-2010,221.09
Christian,Northern Africa,2010-2020,-30.39
Christian,Northern Africa,1970-2020,123.52
Christian,Southern Africa,1970-2010,150.41
Christian,Southern Africa,2010-2020,16.53
Christian,Southern Africa,1970-2020,191.8
Christian,Western Africa,1970-2010,273.97
Christian,Western Africa,2010-2020,31.76
Christian,Western Africa,1970-2020,392.74
Christian,Eastern Asia,1970-2010,1017.3
Christian,Eastern Asia,2010-2020,0.68
Christian,Eastern Asia,1970-2020,1024.94
Christian,South-central Asia,1970-2010,157.14
Christian,South-central Asia,2010-2020,15.61
Christian,South-central Asia,1970-2020,197.26
Christian,South-eastern Asia,1970-2010,149.11
Christian,South-eastern Asia,2010-2020,17.35
Christian,South-eastern Asia,1970-2020,192.34
Christian,Western Asia,1970-2010,119.58
Christian,Western Asia,2010-2020,10.07
Christian,Western Asia,1970-2020,141.69
Christian,Eastern Europe,1970-2010,57.76
Christian,Eastern Europe,2010-2020,-0.66
Christian,Eastern Europe,1970-2020,56.71
Christian,Northern Europe,1970-2010,-1.67
Christian,Northern Europe,2010-2020,43.15
Christian,Northern Europe,1970-2020,40.76
Christian,Southern Europe,1970-2010,14.89
Christian,Southern Europe,2010-2020,18.97
Christian,Southern Europe,1970-2020,36.69
Christian,Western Europe,1970-2010,-11.14
Christian,Western Europe,2010-2020,50.42
Christian,Western Europe,1970-2020,33.67
Christian,Caribbean,1970-2010,74.38
Christian,Caribbean,2010-2020,25.19
Christian,Caribbean,1970-2020,118.3
Christian,Central America,1970-2010,124.94
Christian,Central America,2010-2020,20.24
Christian,Central America,1970-2020,170.47
Christian,South America,1970-2010,96.35
Christian,South America,2010-2020,19.49
Christian,South America,1970-2020,134.63
Christian,Northern America,1970-2010,34.19
Christian,Northern America,2010-2020,35.84
Christian,Northern America,1970-2020,82.28
Christian,Australia/New Zealand,1970-2010,31.12
Christian,Australia/New Zealand,2010-2020,60.7
Christian,Australia/New Zealand,1970-2020,110.7
Christian,Melanesia,1970-2010,166.89
Christian,Melanesia,2010-2020,38.97
Christian,Melanesia,1970-2020,270.89
Christian,Micronesia,1970-2010,102.85
Christian,Micronesia,2010-2020,10.02
Christian,Micronesia,1970-2020,123.17
Christian,Polynesia,1970-2010,58.19
Christian,Polynesia,2010-2020,5.72
Christian,Polynesia,1970-2020,67.24
Hindu,Eastern Africa,1970-2010,186.32
Hindu,Eastern Africa,2010-2020,20.29
Hindu,Eastern Africa,1970-2020,244.4
Hindu,Middle Africa,1970-2010,9830.0
Hindu,Middle Africa,2010-2020,36.96
Hindu,Middle Africa,1970-2020,13500.0
Hindu,Northern Africa,1970-2010,739900.0
Hindu,Northern Africa,2010-2020,16.22
Hindu,Northern Africa,1970-2020,859900.0
Hindu,Southern Africa,1970-2010,177.37
Hindu,Southern Africa,2010-2020,18.32
Hindu,Southern Africa,1970-2020,228.18
Hindu,Western Africa,1970-2010,223.33
Hindu,Western Africa,2010-2020,434.02
Hindu,Western Africa,1970-2020,1626.67
Hindu,Eastern Asia,1970-2010,147.2
Hindu,Eastern Asia,2010-2020,7.93
Hindu,Eastern Asia,1970-2020,166.8
Hindu,South-central Asia,1970-2010,102.2
Hindu,South-central Asia,2010-2020,11.41
Hindu,South-central Asia,1970-2020,125.27
Hindu,South-eastern Asia,1970-2010,84.19
Hindu,South-eastern Asia,2010-2020,13.79
Hindu,South-eastern Asia,1970-2020,109.58
Hindu,Western Asia,1970-2010,8435.03
Hindu,Western Asia,2010-2020,62.16
Hindu,Western Asia,1970-2020,13740.76
Hindu,Eastern Europe,1970-2010,4769900.0
Hindu,Eastern Europe,2010-2020,4.82
Hindu,Eastern Europe,1970-2020,4999900.0
Hindu,Northern Europe,1970-2010,213.12
Hindu,Northern Europe,2010-2020,5.49
Hindu,Northern Europe,1970-2020,230.32
Hindu,Southern Europe,1970-2010,9674.19
Hindu,Southern Europe,2010-2020,553.47
Hindu,Southern Europe,1970-2020,63770.97
Hindu,Western Europe,1970-2010,1126.09
Hindu,Western Europe,2010-2020,5.32
Hindu,Western Europe,1970-2020,1191.3
Hindu,Caribbean,1970-2010,40.44
Hindu,Caribbean,2010-2020,3.93
Hindu,Caribbean,1970-2020,45.96
Hindu,Central America,1970-2010,1700.0
Hindu,Central America,2010-2020,22.78
Hindu,Central America,1970-2020,2110.0
Hindu,South America,1970-2010,13.35
Hindu,South America,2010-2020,9.32
Hindu,South America,1970-2020,23.91
Hindu,Northern America,1970-2010,1429.17
Hindu,Northern America,2010-2020,13.35
Hindu,Northern America,1970-2020,1633.33
Hindu,Australia/New Zealand,1970-2010,3013.64
Hindu,Australia/New Zealand,2010-2020,106.2
Hindu,Australia/New Zealand,1970-2020,6320.45
Hindu,Melanesia,1970-2010,35.8
Hindu,Melanesia,2010-2020,4.6
Hindu,Melanesia,1970-2020,42.05
Hindu,Micronesia,1970-2010,2500.0
Hindu,Micronesia,2010-2020,-11.54
Hindu,Micronesia,1970-2020,2200.0
Hindu,Polynesia,1970-2010,233.33
Hindu,Polynesia,2010-2020,10.0
Hindu,Polynesia,1970-2020,266.67
Muslim,Eastern Africa,1970-2010,228.28
Muslim,Eastern Africa,2010-2020,39.23
Muslim,Eastern Africa,1970-2020,357.08
Muslim,Middle Africa,1970-2010,249.91
Muslim,Middle Africa,2010-2020,41.58
Muslim,Middle Africa,1970-2020,395.42
Muslim,Northern Africa,1970-2010,146.26
Muslim,Northern Africa,2010-2020,23.97
Muslim,Northern Africa,1970-2020,205.3
Muslim,Southern Africa,1970-2010,227.31
Muslim,Southern Africa,2010-2020,17.93
Muslim,Southern Africa,1970-2020,285.98
Muslim,Western Africa,1970-2010,229.86
Muslim,Western Africa,2010-2020,34.32
Muslim,Western Africa,1970-2020,343.07
Muslim,Eastern Asia,1970-2010,78.48
Muslim,Eastern Asia,2010-2020,12.82
Muslim,Eastern Asia,1970-2020,101.36
Muslim,South-central Asia,1970-2010,181.23
Muslim,South-central Asia,2010-2020,18.38
Muslim,South-central Asia,1970-2020,232.9
Muslim,South-eastern Asia,1970-2010,125.84
Muslim,South-eastern Asia,2010-2020,13.56
Muslim,South-eastern Asia,1970-2020,156.46
Muslim,Western Asia,1970-2010,183.47
Muslim,Western Asia,2010-2020,21.02
Muslim,Western Asia,1970-2020,243.04
Muslim,Eastern Europe,1970-2010,45.31
Muslim,Eastern Europe,2010-2020,13.5
Muslim,Eastern Europe,1970-2020,64.92
Muslim,Northern Europe,1970-2010,323.82
Muslim,Northern Europe,2010-2020,105.27
Muslim,Northern Europe,1970-2020,769.97
Muslim,Southern Europe,1970-2010,154.73
Muslim,Southern Europe,2010-2020,10.75
Muslim,Southern Europe,1970-2020,182.13
Muslim,Western Europe,1970-2010,473.64
Muslim,Western Europe,2010-2020,23.93
Muslim,Western Europe,1970-2020,610.9
Muslim,Caribbean,1970-2010,62.39
Muslim,Caribbean,2010-2020,4.39
Muslim,Caribbean,1970-2020,69.52
Muslim,Central America,1970-2010,217.6
Muslim,Central America,2010-2020,16.22
Muslim,Central America,1970-2020,269.1
Muslim,South America,1970-2010,310.71
Muslim,South America,2010-2020,17.15
Muslim,South America,1970-2020,381.17
Muslim,Northern America,1970-2010,552.26
Muslim,Northern America,2010-2020,3.26
Muslim,Northern America,1970-2020,573.52
Muslim,Australia/New Zealand,1970-2010,1761.54
Muslim,Australia/New Zealand,2010-2020,69.01
Muslim,Australia/New Zealand,1970-2020,3046.15
Muslim,Melanesia,1970-2010,42.09
Muslim,Melanesia,2010-2020,6.9
Muslim,Melanesia,1970-2020,51.89
Muslim,Micronesia,1970-2010,41.79
Muslim,Micronesia,2010-2020,15.79
Muslim,Micronesia,1970-2020,64.18
Muslim,Polynesia,1970-2010,72.5
Muslim,Polynesia,2010-2020,8.7
Muslim,Polynesia,1970-2020,87.5
General Population,Eastern Africa,1970-2010,193.55
General Population,Eastern Africa,2010-2020,37.45
General Population,Eastern Africa,1970-2020,303.49
General Population,Middle Africa,1970-2010,210.83
General Population,Middle Africa,2010-2020,41.76
General Population,Middle Africa,1970-2020,340.64
General Population,Northern Africa,1970-2010,154.85
General Population,Northern Africa,2010-2020,17.56
General Population,Northern Africa,1970-2020,199.59
General Population,Southern Africa,1970-2010,129.46
General Population,Southern Africa,2010-2020,16.83
General Population,Southern Africa,1970-2020,168.08
General Population,Western Africa,1970-2010,184.54
General Population,Western Africa,2010-2020,32.08
General Population,Western Africa,1970-2020,275.81
General Population,Eastern Asia,1970-2010,58.03
General Population,Eastern Asia,2010-2020,6.62
General Population,Eastern Asia,1970-2020,68.48
General Population,South-central Asia,1970-2010,125.88
General Population,South-central Asia,2010-2020,14.16
General Population,South-central Asia,1970-2020,157.85
General Population,South-eastern Asia,1970-2010,111.85
General Population,South-eastern Asia,2010-2020,12.67
General Population,South-eastern Asia,1970-2020,138.7
General Population,Western Asia,1970-2010,163.33
General Population,Western Asia,2010-2020,20.54
General Population,Western Asia,1970-2020,217.41
General Population,Eastern Europe,1970-2010,6.85
General Population,Eastern Europe,2010-2020,-0.6
General Population,Eastern Europe,1970-2020,6.21
General Population,Northern Europe,1970-2010,13.5
General Population,Northern Europe,2010-2020,7.11
General Population,Northern Europe,1970-2020,21.57
General Population,Southern Europe,1970-2010,21.49
General Population,Southern Europe,2010-2020,-1.9
General Population,Southern Europe,1970-2020,19.18
General Population,Western Europe,1970-2010,14.22
General Population,Western Europe,2010-2020,3.75
General Population,Western Europe,1970-2020,18.51
General Population,Caribbean,1970-2010,63.34
General Population,Caribbean,2010-2020,4.53
General Population,Caribbean,1970-2020,70.74
General Population,Central America,1970-2010,128.96
General Population,Central America,2010-2020,15.26
General Population,Central America,1970-2020,163.9
General Population,South America,1970-2010,103.45
General Population,South America,2010-2020,9.73
General Population,South America,1970-2020,123.25
General Population,Northern America,1970-2010,55.29
General Population,Northern America,2010-2020,7.07
General Population,Northern America,1970-2020,66.26
General Population,Australia/New Zealand,1970-2010,72.75
General Population,Australia/New Zealand,2010-2020,13.83
General Population,Australia/New Zealand,1970-2020,96.65
General Population,Melanesia,1970-2010,158.15
General Population,Melanesia,2010-2020,27.18
General Population,Melanesia,1970-2020,228.31
General Population,Micronesia,1970-2010,108.56
General Population,Micronesia,2010-2020,2.43
General Population,Micronesia,1970-2020,113.62
General Population,Polynesia,1970-2010,61.39
General Population,Polynesia,2010-2020,1.63
General Population,Polynesia,1970-2020,64.03
